317.249 NaN 0.0942 0.8982
317.289 NaN 0.0932 0.9157
317.329 NaN 0.0924 0.8993
317.369 NaN 0.0930 0.8662
317.409 NaN 0.0913 0.9097
317.449 NaN 0.0926 0.9020
317.489 NaN 0.0905 0.8936
317.529 0.1060 0.0927 0.8806
317.569 0.1134 0.0917 0.8966
317.609 0.1149 0.0878 0.8930
317.650 0.1189 0.0919 0.9190
317.690 0.1176 0.0935 0.8866
317.730 0.1195 0.0928 0.9227
317.770 0.1220 0.0950 0.9043
317.807 0.1237 0.0922 0.9376
317.851 0.1275 0.0923 0.9048
317.891 0.1280 0.0951 0.9059
317.930 0.1271 0.0953 0.9034
317.970 0.1243 0.0947 0.8549
318.008 0.1297 0.0930 0.8891
318.052 0.1298 0.0913 0.9065
318.092 0.1350 0.0940 0.9135
318.132 0.1347 0.0964 0.9512
318.172 0.1366 0.0953 0.9396
318.212 0.1402 0.0893 0.9516
318.253 0.1419 0.0919 0.9628
318.293 0.1415 0.0913 0.9652
318.333 0.1400 0.0938 0.9532
318.373 0.1402 0.0923 0.9218
318.412 0.1404 0.0933 0.9538
318.452 0.1442 0.0909 0.9042
318.493 0.1424 0.0895 0.9091
318.534 0.1419 0.0961 0.9102
318.574 0.1406 0.0957 0.8932
318.614 0.1408 0.0958 0.9491
318.651 0.1439 0.0958 0.9185
318.695 0.1451 0.0931 0.9305
318.734 0.1444 0.0956 0.9298
318.774 0.1475 0.0961 0.9498
318.814 0.1488 0.0965 0.9548
318.851 0.1496 0.0932 0.9425
318.895 0.1559 0.0955 0.9135
318.935 0.1581 0.0933 0.9611
318.975 0.1667 0.0980 0.9288
319.015 0.1704 0.1015 0.9109
319.055 0.1715 0.0967 0.9615
319.096 0.1749 0.0954 0.9359
319.135 0.1723 0.0966 0.9488
319.175 0.1769 0.0954 0.9172
319.216 0.1735 0.0981 0.9379
319.256 0.1664 0.0975 0.9737
319.296 0.1640 0.0987 0.9448
319.337 0.1651 0.0961 0.9161
319.377 0.1584 0.0974 0.9161
319.417 0.1546 0.0994 0.9298
319.457 0.1442 0.0996 0.8871
319.495 0.1354 0.0969 0.8851
319.538 0.1314 0.0940 0.9140
319.578 0.1229 0.0958 0.8718
319.618 0.1141 0.0984 0.9205
319.658 0.1073 0.0996 0.9419
319.694 0.1024 0.0983 0.9138
319.739 0.1062 0.0963 0.9277
319.779 0.1102 0.0993 0.8931
319.819 0.1111 0.0963 0.9335
319.859 0.1165 0.0998 0.8995
319.898 0.1171 0.0989 0.9133
319.939 0.1187 0.0987 0.9437
319.979 0.1198 0.0963 0.9303
320.019 0.1218 0.0963 0.9192
320.059 0.1246 0.0978 0.9282
