12.713 NaN 0.1040 0.8721
12.753 NaN 0.1064 0.9326
12.792 NaN 0.1069 0.8779
12.833 NaN 0.1069 0.8779
12.870 NaN 0.1034 0.8988
12.914 NaN 0.1036 0.8898
12.954 NaN 0.1042 0.8843
12.994 0.0898 0.1045 0.9033
13.033 0.0849 0.1081 0.8825
13.074 0.0791 0.1051 0.8887
13.115 0.0756 0.1051 0.8887
13.154 0.0753 0.1059 0.9075
13.195 0.0725 0.1094 0.8977
13.235 0.0668 0.1098 0.8813
13.274 0.0669 0.1098 0.8813
13.314 0.0641 0.1075 0.8727
13.355 0.0639 0.1057 0.8727
13.395 0.0626 0.1070 0.8959
13.435 0.0609 0.1102 0.8957
13.475 0.0623 0.1086 0.9161
13.513 0.0593 0.1064 0.8695
13.556 0.0590 0.1028 0.8735
13.596 0.0602 0.1030 0.8829
13.636 0.0551 0.1052 0.8865
13.676 0.0495 0.1080 0.8645
13.713 0.0444 0.1043 0.8695
13.757 0.0358 0.1050 0.8485
13.797 0.0338 0.1066 0.8655
13.837 0.0282 0.1046 0.8475
13.877 0.0225 0.1140 0.8655
13.917 0.0199 0.1044 0.8761
13.958 0.0137 0.1053 0.8811
13.998 0.0138 0.1032 0.8841
14.038 0.0120 0.1049 0.8651
14.078 0.0095 0.1130 0.8645
14.118 0.0095 0.1038 0.8761
14.157 0.0099 0.1094 0.8797
14.199 0.0094 0.1036 0.8811
14.239 0.0079 0.1074 0.8651
14.279 0.0086 0.1034 0.8871
14.318 0.0065 0.1068 0.9121
14.356 0.0063 0.1123 0.8735
14.400 0.0060 0.1069 0.8957
14.440 0.0073 0.1067 0.8729
14.480 0.0051 0.1069 0.8957
14.519 0.0038 0.1053 0.8761
14.556 0.0046 0.1117 0.8971
14.601 0.0035 0.1071 0.8729
14.641 0.0046 0.1091 0.8785
14.680 0.0042 0.1071 0.8729
14.720 0.0030 0.1071 0.8729
14.760 0.0031 0.1079 0.8957
14.801 0.0033 0.1083 0.8729
14.841 0.0032 0.1062 0.8719
14.881 0.0030 0.1071 0.8729
14.921 0.0044 0.1071 0.8729
14.960 0.0055 0.1115 0.8735
15.000 0.0066 0.1071 0.8729
15.042 0.0061 0.1084 0.8729
15.083 0.0062 0.1105 0.8873
15.123 0.0064 0.1070 0.8811
15.162 0.0082 0.1082 0.8721
15.200 0.0089 0.1087 0.9105
15.244 0.0106 0.1082 0.8721
15.283 0.0116 0.1068 0.9105
15.323 0.0120 0.1078 0.8916
15.363 0.0110 0.1063 0.9121
15.402 0.0089 0.1088 0.8916
15.444 0.0078 0.1062 0.9355
15.484 0.0084 0.1091 0.8904
15.524 0.0083 0.1016 0.9055
15.564 0.0045 0.1069 0.9045
15.604 0.0066 0.1104 0.8967
15.644 0.0051 0.1089 0.8904
15.685 0.0066 0.1086 0.8904
15.725 0.0066 0.1089 0.8721
15.765 0.0074 0.1073 0.8721
15.804 0.0081 0.1079 0.8721
15.843 0.0101 0.1091 0.8799
15.885 0.0079 0.1081 0.8811
15.925 0.0071 0.1091 0.8811
15.965 0.0050 0.1076 0.8733
16.005 0.0049 0.1049 0.8719
16.042 0.0036 0.1098 0.8758
16.086 0.0052 0.1091 0.8733
16.126 0.0051 0.1079 0.9045
16.167 0.0047 0.1055 0.8799
16.206 0.0062 0.1055 0.8799
16.243 0.0060 0.1089 0.8733
16.288 0.0042 0.1075 0.9105
16.328 0.0049 0.1090 0.9179
16.368 0.0046 0.1087 0.8757
16.407 0.0031 0.1072 0.8799
16.447 0.0042 0.1071 0.9033
16.488 0.0028 0.1091 0.9121
16.528 0.0031 0.1078 0.8992
16.568 0.0045 0.1078 0.8916
16.608 0.0028 0.1042 0.8744
16.648 0.0032 0.1067 0.8916
16.687 0.0026 0.1079 0.8916
16.729 0.0035 0.1101 0.8992
16.769 0.0026 0.1079 0.8904
16.809 0.0033 0.1071 0.9269
16.848 0.0041 0.1067 0.8904
16.886 0.0032 0.1057 0.9045
16.930 0.0044 0.1062 0.9355
16.969 0.0043 0.1052 0.9355
17.009 0.0032 0.1052 0.9355
17.049 0.0047 0.1079 0.8904
17.086 0.0055 0.1057 0.9045
17.130 0.0052 0.1076 0.8916
17.170 0.0054 0.1075 0.9475
17.210 0.0048 0.1100 0.9339
17.250 0.0052 0.1077 0.9339
17.291 0.0042 0.1068 0.9155
17.332 0.0024 0.1057 0.9155
17.372 0.0045 0.1094 0.9003
17.412 0.0047 0.1080 0.9155
17.452 0.0041 0.1048 0.9155
17.491 0.0045 0.1025 0.9061
17.531 0.0041 0.1046 0.9061
17.572 0.0037 0.1113 0.8905
17.613 0.0034 0.1068 0.9155
17.652 0.0060 0.1113 0.8905
17.692 0.0050 0.1084 0.8905
17.729 0.0033 0.1073 0.9003
17.773 0.0032 0.1072 0.9125
17.813 0.0035 0.1102 0.9187
17.853 0.0030 0.1069 0.9061
17.893 0.0025 0.1095 0.8905
17.930 0.0023 0.1095 0.8905
17.974 0.0032 0.1058 0.9061
18.014 0.0026 0.1076 0.9061
18.054 0.0032 0.1090 0.9189
18.094 0.0033 0.1068 0.9155
18.134 0.0027 0.1095 0.8905
18.174 0.0023 0.1069 0.9061
18.214 0.0032 0.1071 0.9125
18.255 0.0031 0.1071 0.9281
18.294 0.0039 0.1075 0.9155
18.334 0.0052 0.1095 0.8905
18.374 0.0053 0.1064 0.8941
18.416 0.0034 0.1073 0.9015
18.456 0.0047 0.1077 0.9187
18.496 0.0048 0.1073 0.9091
18.536 0.0065 0.1054 0.9191
18.573 0.0059 0.1068 0.9047
